Serial No.,Review
1,"I've suffered frequent UTIs and am usually prescribed amoxicillin, which for me works amazingly well. If I catch it early, I find the ache in my bladder, small amount of blood in the urine, and the urgency to pee goes away enough to be comfortable within 6 hours, and I feel 100% normal again in 24-48 hours. Does the trick each time."
2,"I had been having abdominal and pelvic pain for over three weeks, thinking that it was menstrual-related. Once my cycle was over, I noticed that there was blood in my urine and immediately knew that it was a urinary tract or bladder infection. I got a prescription for amoxicillin, and within an hour of taking the first dose, which was two pills, my pain had subsided from an 8 to a 5 on a scale of 1 to 10. Several hours later, I was immediately feeling back to myself and ready to get out and start living again. The pain of the bladder infection or urinary tract infection had literally kept me in the house with a heating pad on for three weeks, almost a month. Make sure that you do take the full Rx for the infection, or it could come back."
3,"I have always used amoxicillin for my frequent urinary tract infections. It works in 4 or 5 days, although I take it for a 10-day run. I take two 250mg capsules twice a day. I have never had any problems. Works great, if you aren't allergic to any of the penicillin-type drugs."
4,"I have a tooth infection and swelling on my face spreading to my neck. Now on my second dose of amoxicillin 500 mg. It's not working, can't see the dentist with COVID-19. What do I do now? I am scared if the infection goes into my bloodstream as that's very, very dangerous!"
5,"At first, I was convinced the antibiotic will not work as the pain felt like it was getting worse every day, and I was ready to go back to the dentist. Only after completing 4 out of 7 days (3 pills a day) did I start to feel better! Make sure you finish the entire course."
6,"Very effective, made me feel like normal again after weeks of being in pain due to my urinary tract infection. However, after being on amoxicillin for nearly 5 days, I had severe diarrhea and stopped taking it due to the fact, I was constantly sitting on the loo! However, this was a highly effective medicine for me, much better than trimethoprim."
7,"Have been on amoxicillin for a long time. Twice when I tried to quit it, exactly on the 10th day of being off it, I ended up with a bad urinary tract infection. So amoxicillin was very effective in holding off urinary tract infections for me."
8,"I have had frequent UTIs since I was a kid, and I still get them every couple of months. Amoxicillin has always worked for me. My doctor tried to change it up this time around and give me Bactrim. It was awful. It did nothing for my UTI, and just made me feel super dizzy and tired all day. So I went back, and she gave me Macrobid. I told her that amoxicillin has always worked for me, but she insisted I try the Macrobid. Still in constant pain, the frequency, all of it is still there. Amoxicillin is THE ONLY one that works for me. I am going back tomorrow and insisting on the amoxicillin. I KNOW MY BODY."
9,"So, I have had a tooth infection multiple times, but this time it’s worse to the point where I can’t eat or sleep. If I manage to fall asleep, I wake up in tears because of the pain. I have been taking Co-Codamol, Nurofen, and Paracetamol. I have also been using ice to try and numb my mouth. I had to ring up the dentist (due to COVID-19 I could not get an appointment) and explain my symptoms, which are swollen red gums, throbbing pain in the mouth and jaw, and tenderness when touching. I was prescribed Amoxicillin 500mg x3 a day. I have been taking them for 3 days now and the pain is still there, still swollen. The painkillers no longer work. I haven’t eaten in three days and everything hurts. The ice doesn’t make an impact, and I am just in severe pain day and night. I just think it’s a waste of time."
10,"My tooth broke, there was an infection and I was in HORRIBLE pain. I took 2 Ibuprofen 800mg & 1000mg of Tylenol (not good for me, I know) but I couldn’t handle the pain and it barely helped. I started the first dose of this antibiotic (850 mg twice a day) and the pain already subsided hours after taking it. I’ve used this medication before for tooth infections and it works WONDERS. I crush the antibiotic into yogurt and eat it that way, and it doesn’t upset my stomach at all. I wanted to write this review for all my hypochondriacs (like me). I’m literally scared of every medicine, I only take it if I absolutely must. But this antibiotic is totally worth it!"
