Serial No.,Review
1,"My family has a history of heart attack, so I always carry aspirin with me just in case. I found a wristband on the market that stores 2 aspirin in it. It is a great and convenient method of carrying aspirin around, so I don't need a bulky bottle of it in my pocket. It is called the Beatfirst Aspirin Wristband for anyone else with the same problem."
2,"I am a 35-year-old male with moderate to severe sciatica (pain from buttock to ankle) due to a bulging disc L5 - S1. I found taking a 1000 mg dose gave significant and almost total relief for about 1 to 2 hours. The effect was greater if the pain was not too severe, the best results came from taking aspirin before the pain got severe. I also found that taking aspirin without food made it work faster, but I suffered stomach aches as a consequence."
3,"I have severe sciatica as a result of a cyst on L5. The epidural failed, gave relief for a week before pain returned, and I am headed toward surgery to remove the cyst. I have found aspirin works better than Aleve (2 every 8 hours or 3 every 12 hours per my doc is OK), Advil, and Tylenol, 10 mg Norco and Gabapentin, although I am stepping up bit by bit to a full dose of Gabapentin, and maybe eventually that will help. On a scale of 1-10 my pain is a 10, and the aspirin will cut it down to a 3-4 for a couple of hours."
4,"It works. I always take Bayer when I have a headache, and it always works. I took store brand aspirin for four days battling a headache, and it just did not work at all. Popped two expired Bayer today, and they still worked like magic on both my back pain from menstruation and the headache I haven't been able to get over. I feel so much better that I literally went online to write a review about it. If that doesn't convince you, I don't know what will. Try it, it works."
5,"I have been taking 3-325 mg enteric aspirin tablets in the AM and PM for 30 years. That is 975 mg per dose. When I have to go off aspirin for surgery, my hands get seriously inflamed, stiff, and painful. I have never had any stomach problems with enteric aspirin. Recently, aspirin has become hard to find in large quantities like Costco and Walgreens used to sell. In small quantities, it costs 3 times as much per tablet. Please, somebody return to selling it in large economy sizes."
6,"I have found that aspirin has been an amazing help with the arthritis pain that I have dealt with over the years. I don’t know what got into me to give aspirin a try, but am I ever glad that I did! I had thought that naproxen was the best I could do for pain using over-the-counter medicines since it had been a prescription drug at the time it was prescribed for me several years ago. However, at least for my shoulder pain problem, it has been the other way around."
7,"I have rheumatoid arthritis and take an aspirin per day for my heart. It is effective in relieving headaches, especially quick if the tablet is chewed. Read the side effects to receive best results. Dosage I use is two, repeated as needed every few hours. This is based on my needs and experience."
8,"Aspirin is not a very effective pain reliever and has unacceptable side effects for me. Namely, gastritis and ulcer. I traded my daily ibuprofen for a daily aspirin after reading about its cardiovascular and cancer-preventing properties. A month later, my stomach is wrecked. I don't smoke, drink, or do anything else that would damage my stomach this way. I'm a healthy 30-year-old. My symptoms include nausea, burning pain in my back and shoulders, gas, bloating, indigestion, and weakness. I'm now taking Prilosec, Zantac, and Tums with little relief. While daily aspirin can save lives, it can also be harmful. It's slightly harder on your stomach than other NSAIDs. Don't take it unless you actually NEED it."
9,"It's the only aspirin product I can tolerate. All others, even 'coated' low-dose aspirin, cause GI upset. It's also significantly more expensive. For some reason lately, I have been having difficulty finding this product. That said, I'm glad I found an aspirin product that does not cause GI upset (I take it for stroke prevention, which is very rampant in my family)."
10,"This would be the second most effective NSAID for me, behind Motrin but well ahead of Aleve or other OTCs of any type. It is my preference for 'cold and flu' because it breaks a fever pretty quick. If there is a downside, it's that if I take 2 or 3 a day for more than a week, it definitely causes a ringing in my ears, loud. Short-term or simple pain, the old school aspirin just works."
