Serial No.,Review
1,"I have been taking metformin for 5 months now and I am losing a bit of my weight. However, one thing that concerns me is that I am having diarrhea all the time. The worst part is that if I am going out for a walk or groceries, in the middle of these situations, I really need to go to the toilet straight away, otherwise, I will have an accident. This is really disturbing for me because some parts of my daily life activities are affected. I need to stay home or make sure that I am near a restroom if I need to go somewhere. I don't know if other people with type 2 diabetes are experiencing the same issues. Thank you."
2,"Found out I was insulin resistant after a 2-hour glucose test. My doctor prescribed Glucophage, which I was very apprehensive of taking. I happen to suffer from severe anxiety and bouts of depression. After taking this drug, my life changed. No depression, no anxiety, and no brain fog. I didn't experience any negative side effects. This has literally changed my life. No psychiatrist has ever been able to cure my anxiety. Happy to say I am cured. Anxiety and depression free for the first time in 15 years."
3,"My doctor just put me on Metformin extended release 500mg twice a day, and I'm getting a lot of brain fog. I've been on it for 6 months, and I'm getting very forgetful. I wanted to know, does anybody else experience this? It's very hard to concentrate."
4,"If you take the medication with food you'll avoid an upset stomach, avoid processed sugar (metformin basically just makes you expel it) and you'll avoid the worst diarrhea of your life. I started taking metformin in January 2019 for infertility and PCOS symptoms. It helped regulate my period. Within 2 months of taking it (coupled with a dietary change of no processed sugars), I lost 40 lbs in 4 months and I was pregnant by April 2019. Started taking metformin again to help with PCOS symptoms for ovulation in October 2020 (between then and March total weight loss 50 lbs) pregnant positive March 2021. My doctor believes it's a combination of the metformin for ovulation and weight loss making it easier to get pregnant. Hope this helps you on your journey."
5,"Life changing! 500 mg 1x/day, and low-carb diet (7+/- servings a day and when I started, I was 375 lbs). Very compliant, 60 lb loss in 60 days, added daily hour of cardio (Zumba), continued and in 24 months lost 150 lbs. ALL side effects of metformin are indicators that you're eating too many carbs. A doctor that prescribes metformin that doesn't also prescribe a low-carb diet is being absurd. I've been amazed at how many people I've talked to over the years that have had that happen. Diarrhea, nausea, metallic taste, all mean you're eating the wrong things! They're not a reason to quit the meds. They're proof you need to eat low carb. 7 years later, still down 100, and increasing dose to continue losing."
6,"My story is similar to those who have posted. I gained A LOT of weight and had unwanted hair growth due to polycystic ovarian syndrome. I've been on metformin for almost 3 weeks and have lost 13 lbs. The day I started metformin, I also started a low-carb diet. Prior to metformin, I couldn't control my craving for salty, carb-filled food. For the past two and a half weeks, I have been able to finally control the cravings. My energy levels have increased by 50%. I also waxed the unwanted hair the day I started, and already I have noticed that less is growing back in. I wish I started metformin two years ago because I literally feel like PCOS has taken two years of my life away from me! I hope it works for others as well as it has worked for me."
7,"Guys, don’t give up. I took Metformin 4 and a half years ago for my PCOS as I was trying to conceive. I did one round of Clomid and fell pregnant but had an ectopic pregnancy and had my right side tube removed. Then a year later we went for an IVF round and that was unsuccessful. I gave myself some time to recover from the heartache. My doctor recommended me to take Metformin to regulate my period. I started with 3 tablets a day, 1500mg. I experienced nausea for the first 2-3 weeks. I did lose a few pounds but was never overweight (BMI 24). I started taking the tablets in January and my period started to regulate after two months. My husband and I had an appointment for a second round of IVF on June 15, and I decided to do a pregnancy test in June 2015 as I was feeling very tired. To my surprise, it came out positive. I took Metformin for 5 months to give me a miracle baby after one test tube baby. My baby was born on time and healthy. He is turning 4 years old next month."
8,"Feeling energized, my skin, hair, and nails look flawless. My mood has improved tremendously, I feel prettier and somehow sexier. I'm even turning some heads at the stop lights, lol. Not craving for sweets and not feeling hungry at night. Eating half of my usual portions because I feel plenty after a few bites. No headaches or dizziness, just a little stomach looseness. I'm always thirsty, which is good because I'm drinking 1.5 liters of water when I was used to 500 ml only. My belly looks definitely less bloated. I love you, metformin <3"
9,"So far, Metformin has been a wonder drug for me. I'm dropping weight, not hungry at all, and my energy levels are up. I'm taking one with each meal. I'm losing 5+ lbs a week, and it's all from my stomach fat. I've had one bout of diarrhea, but that was in the first 3 days of use, and when I took 2 in the AM versus 1 with each meal. I do think I need to drink more water with this prescription as it seems to slow bowel movements down. No other issues. I'm taking a blood pressure medication and B-12 supplements with it. And a multivitamin."
10,"Metformin definitely works. My husband and I had been trying for almost a year before seeking help from a doctor. I found out that I have PCOS. My OB-GYN immediately put me on Metformin 500mg for the first two weeks and then increased it to 1000mg in the third week. I started on 6/28 and by 7/28 (a date I will never forget), I got a positive pregnancy test. That means I got pregnant after 2 weeks of using Metformin along with eating healthy and working out for 40 minutes per day. Ladies, don't ever give up, keep your hope up, and remember the power of prayers. 'Just ask, and you will receive. Just knock, and the door will be opened.'"
11,"Been on metformin 5 days for insulin resistance, no side effects so far. Except I am extremely happy, is this a happy pill? My SSRI never came close to this when I was on it. Seriously good mood and no anxiety."
12,"I am 29 years old. I started metformin after having a large cyst rupture on my right ovary. I got a proper diagnosis of PCOS after that. I was on metformin for 10 months at 1000mg daily. My cycles became regulated. They still weren't the typical 28 days, but I got one every month at least. I tested positive with a pregnancy test after 10 months and am currently 10 weeks pregnant! We didn't take anything else. I only took the metformin. I hope this helps!"
